Producto,Referencia,Código de Barra,Lote,Fecha de Caducidad,Cantidad,Precio de Compra
36 HORAS 10 MG. COMP. REC.CAJA 10 BITS X 2 COMP X TIRA,7840036008488,7840036008488,2520,2027-11-30 03:00:00,60.0,0.63
36 HORAS 20 MG .X COMP. REC. CAJA X 20,7840036011686,7840036011686,1667,2027-07-30 03:00:00,10.0,6.77
ACCORD COMP. REVESTIDO CAJA X 100,7840653006935,7840653006935,52232,2028-03-30 03:00:00,10.0,1.44
ACNECUR CAPS. BLANDAS CAJA X 30,7840036009485,7840036009485,1579443,2002-10-19 03:00:00,10.0,24.34
ACNECUR GEL TUBO X 30 G.,7840036009492,7840036009492,839,2027-03-03 03:00:00,2.0,6.25
AGUJA NOVOFINE 30 G UNIDAD,408713,408713,2348557,2026-12-27 03:00:00,100.0,0.31
ALCOHOL RECTIFICADO LAB AGUILA 500 CC,601996,601996,202500522,2028-12-31 03:00:00,5.0,1.07
ALKA SELTZER TAB. EFERV. CAJA X 100 (SOB. X 2,717608,717608,850201,2027-02-02 03:00:00,20.0,0.15
ALKA SELTZER TAB. EFERV.X 5 TIRA X 2 COMP X UNIDAD,707835,707835,X264P5,2026-06-06 03:00:00,30.0,0.13
BOTIQUIN,47379,47379,,,4.0,1.21
CASTIL COMP. CAJA X 30,7840036105613,7840036105613,2195,2027-09-09 03:00:00,10.0,8.94
CBD 100 LASCA GOTAS ORALES CAJA X 1 FCO. GOT. X 30 ML.,7840199088327,7840199088327,2518315,2027-12-31 03:00:00,5.0,43.42
CBD LASCA GOTAS ORALES CAJA FCO. GOT. X 30 ML.,7840199088266,7840199088266,2515919,2027-06-02 03:00:00,10.0,18.74
CIRUELAX MINITABS COMP. REC. CAJA X 100,7803510003430,7803510003430,3120040,2026-12-12 03:00:00,10.0,1.27
CODEFREE BLOOD GLUCOSE UNIDAD,8809319398509,8809319398509,10365C1,2027-03-31 03:00:00,4.0,9.85
CODEFREE CINTA X25 UNIDADES,8809319399322,8809319399322,10362S1,2027-02-25 03:00:00,4.0,5.64
CONFIUM 20 MG X 30 COMP,7841134000411,7841134000411,251330,2027-08-12 03:00:00,3.0,6.38
COREGA ULTRA SIN SABOR CREMA ADHESIVA P/PROTESIS DENTAL,7794640171710,7794640171710,7U8V,2028-04-04 03:00:00,4.0,4.28
DG-6 SOL. FCO. X 200 ML.,700383,700383,2516827,2029-08-08 03:00:00,5.0,1.19
DODDY TOALLITAS HUMEDA NEUTRO,7840508042514,7840508042514,681224,2026-12-01 03:00:00,3.0,1.51
DODDY TOALLITAS HUMEDO NEUTRO,7840508042507,7840508042507,1001224,2026-12-01 03:00:00,5.0,0.92
DOLO REUMIN CREMA CAJA X 1 POMO X 30 G.,7841106003143,7841106003143,12052924,2027-12-01 03:00:00,5.0,3.8
DR SELBY TOALLITAS HUMEDAS P/ BEBE X 60 UNIDADES,7730188120063,7730188120063,15440/1,2027-06-12 03:00:00,3.0,2.16
